,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
615,85,RL,80.0,8800.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SFoyer,6,7,1963.0,1963,Gable,CompShg,MetalSd,MetalSd,BrkFace,156.0,TA,Gd,PConc,TA,TA,Gd,GLQ,763.0,Unf,0,173.0,936.0,GasA,Ex,Y,SBrkr,1054.0,0.0,0,1054.0,1,0,1,0,3,1,Gd,6,Typ,0,Missing,Attchd,1963.0,RFn,2,480.0,TA,TA,Y,120.0,0.0,0,0,0,0,MnPrv,Missing,0,5,2010,WD,Abnorml,137500
613,20,RL,70.0,8402.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Feedr,Norm,1Fam,1Story,5,5,2007.0,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,206.0,Unf,0,914.0,1120.0,GasA,Ex,Y,SBrkr,1120.0,0.0,0,1120.0,0,0,1,0,3,1,TA,6,Typ,0,Missing,Missing,2020.0,Missing,0,0.0,Missing,Missing,Y,0.0,30.0,0,0,0,0,Missing,Missing,0,12,2007,New,Partial,147000
1303,20,RL,73.0,8688.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2005.0,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,228.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0,1616.0,1616.0,GasA,Ex,Y,SBrkr,1616.0,0.0,0,1616.0,0,0,2,0,3,1,Gd,7,Typ,0,Missing,Attchd,2005.0,RFn,3,834.0,TA,TA,Y,208.0,59.0,0,0,0,0,Missing,Missing,0,4,2006,WD,Normal,232000
486,20,RL,79.0,10289.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1965.0,1965,Hip,CompShg,MetalSd,MetalSd,BrkFace,168.0,TA,TA,CBlock,TA,TA,No,ALQ,836.0,Unf,0,237.0,1073.0,GasA,TA,Y,SBrkr,1073.0,0.0,0,1073.0,1,0,1,1,3,1,TA,6,Typ,0,Missing,Attchd,1965.0,RFn,2,515.0,TA,TA,Y,0.0,0.0,0,0,0,0,Missing,Missing,0,6,2007,WD,Normal,156000
561,20,RL,77.0,10010.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,5,1974.0,1975,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,1071.0,LwQ,123,195.0,1389.0,GasA,Gd,Y,SBrkr,1389.0,0.0,0,1389.0,1,0,1,0,2,1,TA,6,Typ,1,TA,Attchd,1975.0,RFn,2,418.0,TA,TA,Y,240.0,38.0,0,0,0,0,Missing,Missing,0,4,2006,WD,Normal,170000
308,30,RL,70.0,12342.0,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1940.0,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,262.0,Unf,0,599.0,861.0,GasA,Ex,Y,SBrkr,861.0,0.0,0,861.0,0,0,1,0,1,1,TA,4,Typ,0,Missing,Detchd,1961.0,Unf,2,539.0,TA,TA,Y,158.0,0.0,0,0,0,0,Missing,Missing,0,3,2009,WD,Normal,82500
461,70,RL,60.0,7200.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,7,9,1936.0,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,350.0,BLQ,210,0.0,560.0,GasA,Ex,Y,SBrkr,575.0,560.0,0,1135.0,1,0,1,0,3,1,Gd,6,Typ,0,Missing,Detchd,1971.0,RFn,2,576.0,TA,TA,Y,256.0,0.0,0,0,0,0,MnPrv,Missing,0,4,2009,WD,Normal,155000
1142,60,RL,77.0,9965.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2006.0,2007,Hip,CompShg,VinylSd,VinylSd,Stone,340.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1150.0,Unf,0,316.0,1466.0,GasA,Ex,Y,SBrkr,1466.0,1362.0,0,2828.0,1,0,3,0,4,1,Gd,11,Typ,1,TA,BuiltIn,2006.0,RFn,3,1052.0,TA,TA,Y,125.0,144.0,0,0,0,0,Missing,Missing,0,4,2007,New,Partial,424870
730,120,RL,39.0,5389.0,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995.0,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1180.0,Unf,0,415.0,1595.0,GasA,Ex,Y,SBrkr,1616.0,0.0,0,1616.0,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1995.0,RFn,2,608.0,TA,TA,Y,237.0,152.0,0,0,0,0,Missing,Missing,0,3,2010,WD,Normal,236500
1155,20,RL,90.0,10768.0,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,Veenker,Norm,Norm,1Fam,1Story,5,8,1976.0,2004,Gable,CompShg,Plywood,Plywood,None,0.0,Gd,Gd,CBlock,Gd,TA,Gd,ALQ,1157.0,Unf,0,280.0,1437.0,GasA,TA,Y,SBrkr,1437.0,0.0,0,1437.0,1,0,2,0,3,1,Gd,6,Typ,1,Fa,Attchd,1976.0,RFn,2,528.0,TA,TA,Y,0.0,21.0,0,0,180,0,Missing,Missing,0,7,2007,WD,Normal,218000
1203,20,RL,75.0,9750.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2000.0,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,171.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1630.0,1630.0,GasA,Ex,Y,SBrkr,1630.0,0.0,0,1630.0,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2000.0,Unf,2,451.0,TA,TA,Y,74.0,234.0,0,0,0,0,Missing,Missing,0,10,2009,WD,Normal,213000
700,20,RL,85.0,14331.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2002.0,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,630.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1274.0,Unf,0,526.0,1800.0,GasA,Ex,Y,SBrkr,1800.0,0.0,0,1800.0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,Fin,3,765.0,TA,TA,Y,270.0,78.0,0,0,0,0,Missing,Missing,0,5,2006,WD,Normal,312500
