,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
615,85,191219.46744791666,80.0,8800.0,181064.89435897436,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872248,179568.7874186551,148104.59731543623,141937.92727272728,181190.67801857585,186037.23464373464,138493.33333333334,6,7,1963.0,1963,171923.2621870883,180259.57544224765,151124.32413793102,151140.4820143885,201362.69936708861,156.0,146471.11202635913,165718.2474226804,222463.0875576037,142223.5292740047,184416.50114416477,249180.9255319149,231865.73591549296,763.0,184477.71495877503,0,173.0,936.0,182096.16666666666,214933.65863453815,186966.7281767956,186559.38169642858,1054.0,0.0,0,1054.0,1,0,1,0,3,1,212431.68905472636,6,183480.25550660794,0,142483.43254817987,202696.47478260868,1963.0,204562.8540925267,2,480.0,187301.23576309794,188067.73250564333,186411.6782122905,120.0,0.0,0,0,0,0,149137.7358490566,181830.5878594249,0,5,2010,173778.14185228606,144166.24242424243,137500
613,20,191219.46744791666,70.0,8402.0,181064.89435897436,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872248,179568.7874186551,182502.6222826087,141937.92727272728,181190.67801857585,186037.23464373464,178015.57407407407,5,5,2007.0,2007,171923.2621870883,180259.57544224765,212076.3323943662,213056.52449567724,157185.94086021505,0.0,146471.11202635913,184761.9463243874,222463.0875576037,203013.7451923077,184416.50114416477,166000.2738654147,161142.61744966442,206.0,184477.71495877503,0,914.0,1120.0,182096.16666666666,214933.65863453815,186966.7281767956,186559.38169642858,1120.0,0.0,0,1120.0,0,0,1,0,3,1,141800.96090534978,6,183480.25550660794,0,142483.43254817987,100295.28301886792,2020.0,100295.28301886792,0,0.0,100295.28301886792,100295.28301886792,186411.6782122905,0.0,30.0,0,0,0,0,187826.30495552733,181830.5878594249,0,12,2007,271289.0240963855,270858.53571428574,147000
1303,20,191219.46744791666,73.0,8688.0,181064.89435897436,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872248,179568.7874186551,221914.11111111112,185039.5707491082,181190.67801857585,186037.23464373464,178015.57407407407,7,5,2005.0,2005,171923.2621870883,180259.57544224765,212076.3323943662,213056.52449567724,201362.69936708861,228.0,230358.9235474006,184761.9463243874,222463.0875576037,203013.7451923077,184416.50114416477,208313.98620689654,172998.59363957596,0.0,184477.71495877503,0,1616.0,1616.0,182096.16666666666,214933.65863453815,186966.7281767956,186559.38169642858,1616.0,0.0,0,1616.0,0,0,2,0,3,1,212431.68905472636,7,183480.25550660794,0,142483.43254817987,202696.47478260868,2005.0,204562.8540925267,3,834.0,187301.23576309794,188067.73250564333,186411.6782122905,208.0,59.0,0,0,0,0,187826.30495552733,181830.5878594249,0,4,2006,173778.14185228606,175476.74064837905,232000
486,20,191219.46744791666,79.0,10289.0,181064.89435897436,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872248,179568.7874186551,148104.59731543623,185039.5707491082,181190.67801857585,186037.23464373464,178015.57407407407,5,7,1965.0,1965,216729.31794871794,180259.57544224765,151124.32413793102,151140.4820143885,201362.69936708861,168.0,146471.11202635913,184761.9463243874,151961.42344497607,142223.5292740047,184416.50114416477,166000.2738654147,161142.61744966442,836.0,184477.71495877503,0,237.0,1073.0,182096.16666666666,142530.16370106762,186966.7281767956,186559.38169642858,1073.0,0.0,0,1073.0,1,0,1,1,3,1,141800.96090534978,6,183480.25550660794,0,142483.43254817987,202696.47478260868,1965.0,204562.8540925267,2,515.0,187301.23576309794,188067.73250564333,186411.6782122905,0.0,0.0,0,0,0,0,187826.30495552733,181830.5878594249,0,6,2007,173778.14185228606,175476.74064837905,156000
561,20,191219.46744791666,77.0,10010.0,181064.89435897436,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872248,201543.6170212766,182502.6222826087,185039.5707491082,181190.67801857585,186037.23464373464,178015.57407407407,5,5,1974.0,1975,171923.2621870883,180259.57544224765,159823.78523489932,163913.09489051095,157185.94086021505,0.0,146471.11202635913,184761.9463243874,151961.42344497607,203013.7451923077,184416.50114416477,208313.98620689654,161142.61744966442,1071.0,162298.2142857143,123,195.0,1389.0,182096.16666666666,155937.13664596275,186966.7281767956,186559.38169642858,1389.0,0.0,0,1389.0,1,0,1,0,2,1,141800.96090534978,6,183480.25550660794,1,205639.79047619048,202696.47478260868,1975.0,204562.8540925267,2,418.0,187301.23576309794,188067.73250564333,186411.6782122905,240.0,38.0,0,0,0,0,187826.30495552733,181830.5878594249,0,4,2006,173778.14185228606,175476.74064837905,170000
308,30,191219.46744791666,70.0,12342.0,181064.89435897436,201999.27272727274,179770.30847457628,181091.52712384853,178819.05726872248,179568.7874186551,130500.93333333333,185039.5707491082,181190.67801857585,186037.23464373464,178015.57407407407,4,5,1940.0,1950,171923.2621870883,180259.57544224765,212076.3323943662,213056.52449567724,157185.94086021505,0.0,146471.11202635913,184761.9463243874,151961.42344497607,142223.5292740047,184416.50114416477,166000.2738654147,149709.3137254902,262.0,184477.71495877503,0,599.0,861.0,182096.16666666666,214933.65863453815,186966.7281767956,186559.38169642858,861.0,0.0,0,861.0,0,0,1,0,1,1,141800.96090534978,4,183480.25550660794,0,142483.43254817987,136812.6679245283,1961.0,143573.32425742573,2,539.0,187301.23576309794,188067.73250564333,186411.6782122905,158.0,0.0,0,0,0,0,187826.30495552733,181830.5878594249,0,3,2009,173778.14185228606,175476.74064837905,82500
461,70,191219.46744791666,60.0,7200.0,181064.89435897436,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872248,179568.7874186551,182502.6222826087,141937.92727272728,181190.67801857585,186037.23464373464,205302.81518151815,7,9,1936.0,2007,171923.2621870883,180259.57544224765,144906.38129496403,150057.68148148147,157185.94086021505,0.0,230358.9235474006,165718.2474226804,222463.0875576037,203013.7451923077,205993.27272727274,166000.2738654147,161142.61744966442,350.0,160456.66666666666,210,0.0,560.0,182096.16666666666,214933.65863453815,186966.7281767956,186559.38169642858,575.0,560.0,0,1135.0,1,0,1,0,3,1,212431.68905472636,6,183480.25550660794,0,142483.43254817987,136812.6679245283,1971.0,204562.8540925267,2,576.0,187301.23576309794,188067.73250564333,186411.6782122905,256.0,0.0,0,0,0,0,149137.7358490566,181830.5878594249,0,4,2009,173778.14185228606,175476.74064837905,155000
1142,60,191219.46744791666,77.0,9965.0,181064.89435897436,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872248,179568.7874186551,201224.0693069307,185039.5707491082,181190.67801857585,186037.23464373464,205302.81518151815,8,5,2006.0,2007,216729.31794871794,180259.57544224765,212076.3323943662,213056.52449567724,260926.15555555557,340.0,230358.9235474006,184761.9463243874,222463.0875576037,315776.0975609756,184416.50114416477,249180.9255319149,231865.73591549296,1150.0,184477.71495877503,0,316.0,1466.0,182096.16666666666,214933.65863453815,186966.7281767956,186559.38169642858,1466.0,1362.0,0,2828.0,1,0,3,0,4,1,212431.68905472636,11,183480.25550660794,1,205639.79047619048,251911.16129032258,2006.0,204562.8540925267,3,1052.0,187301.23576309794,188067.73250564333,186411.6782122905,125.0,144.0,0,0,0,0,187826.30495552733,181830.5878594249,0,4,2007,271289.0240963855,270858.53571428574,424870
730,120,191219.46744791666,39.0,5389.0,181064.89435897436,201999.27272727274,179770.30847457628,181091.52712384853,178819.05726872248,179568.7874186551,182502.6222826087,185039.5707491082,181190.67801857585,184173.47435897434,178015.57407407407,8,5,1995.0,1996,171923.2621870883,180259.57544224765,193783.81451612903,187170.1328125,157185.94086021505,0.0,230358.9235474006,184761.9463243874,222463.0875576037,203013.7451923077,184416.50114416477,166000.2738654147,231865.73591549296,1180.0,184477.71495877503,0,415.0,1595.0,182096.16666666666,214933.65863453815,186966.7281767956,186559.38169642858,1616.0,0.0,0,1616.0,1,0,2,0,2,1,212431.68905472636,5,183480.25550660794,1,205639.79047619048,202696.47478260868,1995.0,204562.8540925267,2,608.0,187301.23576309794,188067.73250564333,186411.6782122905,237.0,152.0,0,0,0,0,187826.30495552733,181830.5878594249,0,3,2010,173778.14185228606,175476.74064837905,236500
1155,20,191219.46744791666,90.0,10768.0,181064.89435897436,201999.27272727274,179770.30847457628,181091.52712384853,173068.19576719578,179568.7874186551,182502.6222826087,185039.5707491082,181190.67801857585,186037.23464373464,178015.57407407407,5,8,1976.0,2004,171923.2621870883,180259.57544224765,179982.92424242425,167968.72826086957,157185.94086021505,0.0,230358.9235474006,165718.2474226804,151961.42344497607,203013.7451923077,184416.50114416477,249180.9255319149,161142.61744966442,1157.0,184477.71495877503,0,280.0,1437.0,182096.16666666666,142530.16370106762,186966.7281767956,186559.38169642858,1437.0,0.0,0,1437.0,1,0,2,0,3,1,212431.68905472636,6,183480.25550660794,1,164561.36363636365,202696.47478260868,1976.0,204562.8540925267,2,528.0,187301.23576309794,188067.73250564333,186411.6782122905,0.0,21.0,0,0,180,0,187826.30495552733,181830.5878594249,0,7,2007,173778.14185228606,175476.74064837905,218000
