,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SalePrice
615,85,191219.46744791663,2.9906975624424414,9.685469281169011,181064.89435897442,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872245,179568.78741865512,148104.59731543626,141937.92727272728,181190.67801857585,186037.23464373464,138493.33333333337,1.565084580073287,1.626576561697786,1963.0,1963,171923.2621870883,180259.57544224765,151124.32413793102,201362.6993670886,156.0,146471.11202635913,165718.2474226804,222463.08755760366,142223.52927400472,184416.5011441648,249180.9255319149,231865.73591549296,763.0,184477.71495877503,0,3.626699110481307,5.531194905403055,182096.16666666663,214933.6586345381,186966.7281767956,186559.38169642852,0.0,0,5.6978387272277065,1,0,1,0,3,1,212431.68905472642,183480.255506608,0,142483.43254817987,202696.47478260868,1963.0,204562.85409252672,2,187301.235763098,186411.6782122905,120.0,0.0,0,0,0,0,149137.7358490566,181830.58785942488,0,1.4953487812212205,2010,173778.14185228606,137500
613,20,191219.46744791663,2.892507608519078,9.574049516492378,181064.89435897442,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872245,179568.78741865512,182502.6222826087,141937.92727272728,181190.67801857585,186037.23464373464,178015.57407407407,1.4953487812212205,1.4953487812212205,2007.0,2007,171923.2621870883,180259.57544224765,212076.3323943662,157185.94086021505,0.0,146471.11202635913,184761.9463243874,222463.08755760366,203013.7451923077,184416.5011441648,166000.2738654147,161142.61744966442,206.0,184477.71495877503,0,5.498402760407966,5.785015217038156,182096.16666666663,214933.6586345381,186966.7281767956,186559.38169642852,0.0,0,5.785015217038156,0,0,1,0,3,1,141800.96090534976,183480.255506608,0,142483.43254817987,100295.28301886794,2020.0,100295.28301886794,0,100295.28301886794,186411.6782122905,0.0,30.0,0,0,0,0,187826.30495552733,181830.58785942488,0,1.8612097182041991,2007,271289.0240963855,147000
1303,20,191219.46744791663,2.923012785691765,9.654503694227287,181064.89435897442,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872245,179568.78741865512,221914.11111111112,185039.5707491082,181190.67801857585,186037.23464373464,178015.57407407407,1.626576561697786,1.4953487812212205,2005.0,2005,171923.2621870883,180259.57544224765,212076.3323943662,201362.6993670886,228.0,230358.9235474006,184761.9463243874,222463.08755760366,203013.7451923077,184416.5011441648,208313.9862068965,172998.59363957596,0.0,184477.71495877503,0,6.340307759445402,6.340307759445402,182096.16666666663,214933.6586345381,186966.7281767956,186559.38169642852,0.0,0,6.340307759445402,0,0,2,0,3,1,212431.68905472642,183480.255506608,0,142483.43254817987,202696.47478260868,2005.0,204562.85409252672,3,187301.235763098,186411.6782122905,208.0,59.0,0,0,0,0,187826.30495552733,181830.58785942488,0,1.4142135623730951,2006,173778.14185228606,232000
486,20,191219.46744791663,2.981307501301332,10.071479934143618,181064.89435897442,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872245,179568.78741865512,148104.59731543626,185039.5707491082,181190.67801857585,186037.23464373464,178015.57407407407,1.4953487812212205,1.626576561697786,1965.0,1965,216729.317948718,180259.57544224765,151124.32413793102,201362.6993670886,168.0,146471.11202635913,184761.9463243874,151961.42344497607,142223.52927400472,184416.5011441648,166000.2738654147,161142.61744966442,836.0,184477.71495877503,0,3.923621327083012,5.72334506283855,182096.16666666663,142530.16370106762,186966.7281767956,186559.38169642852,0.0,0,5.72334506283855,1,0,1,1,3,1,141800.96090534976,183480.255506608,0,142483.43254817987,202696.47478260868,1965.0,204562.85409252672,2,187301.235763098,186411.6782122905,0.0,0.0,0,0,0,0,187826.30495552733,181830.58785942488,0,1.565084580073287,2007,173778.14185228606,156000
561,20,191219.46744791663,2.9622566376652992,10.0024990630465,181064.89435897442,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872245,201543.61702127664,182502.6222826087,185039.5707491082,181190.67801857585,186037.23464373464,178015.57407407407,1.4953487812212205,1.4953487812212205,1974.0,1975,171923.2621870883,180259.57544224765,159823.78523489932,157185.94086021505,0.0,146471.11202635913,184761.9463243874,151961.42344497607,203013.7451923077,184416.5011441648,208313.9862068965,161142.61744966442,1071.0,162298.2142857143,123,3.7368757062242435,6.1048579268618886,182096.16666666663,155937.13664596275,186966.7281767956,186559.38169642852,0.0,0,6.1048579268618886,1,0,1,0,2,1,141800.96090534976,183480.255506608,1,205639.79047619048,202696.47478260868,1975.0,204562.85409252672,2,187301.235763098,186411.6782122905,240.0,38.0,0,0,0,0,187826.30495552733,181830.58785942488,0,1.4142135623730951,2006,173778.14185228606,170000
308,30,191219.46744791663,2.892507608519078,10.540140147169906,181064.89435897442,201999.27272727274,179770.30847457628,181091.52712384853,178819.05726872245,179568.78741865512,130500.93333333332,185039.5707491082,181190.67801857585,186037.23464373464,178015.57407407407,1.4142135623730951,1.4953487812212205,1940.0,1950,171923.2621870883,180259.57544224765,212076.3323943662,157185.94086021505,0.0,146471.11202635913,184761.9463243874,151961.42344497607,142223.52927400472,184416.5011441648,166000.2738654147,149709.31372549018,262.0,184477.71495877503,0,4.947168533721166,5.416899620838697,182096.16666666663,214933.6586345381,186966.7281767956,186559.38169642852,0.0,0,5.416899620838697,0,0,1,0,1,1,141800.96090534976,183480.255506608,0,142483.43254817987,136812.6679245283,1961.0,143573.32425742573,2,187301.235763098,186411.6782122905,158.0,0.0,0,0,0,0,187826.30495552733,181830.58785942488,0,1.3160740129524924,2009,173778.14185228606,82500
461,70,191219.46744791663,2.783157683713741,9.211558703193814,181064.89435897442,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872245,179568.78741865512,182502.6222826087,141937.92727272728,181190.67801857585,186037.23464373464,205302.8151815181,1.626576561697786,1.7320508075688772,1936.0,2007,171923.2621870883,180259.57544224765,144906.38129496406,157185.94086021505,0.0,230358.9235474006,165718.2474226804,222463.08755760366,203013.7451923077,205993.27272727274,166000.2738654147,161142.61744966442,350.0,160456.66666666663,210,0.0,4.864598558195575,182096.16666666663,214933.6586345381,186966.7281767956,186559.38169642852,560.0,0,5.8042881609932175,1,0,1,0,3,1,212431.68905472642,183480.255506608,0,142483.43254817987,136812.6679245283,1971.0,204562.85409252672,2,187301.235763098,186411.6782122905,256.0,0.0,0,0,0,0,149137.7358490566,181830.58785942488,0,1.4142135623730951,2009,173778.14185228606,155000
1142,60,191219.46744791663,2.9622566376652992,9.991238492121166,181064.89435897442,166452.7032786885,179770.30847457628,181091.52712384853,178819.05726872245,179568.78741865512,201224.0693069307,185039.5707491082,181190.67801857585,186037.23464373464,205302.8151815181,1.6817928305074292,1.4953487812212205,2006.0,2007,216729.317948718,180259.57544224765,212076.3323943662,260926.1555555556,340.0,230358.9235474006,184761.9463243874,222463.08755760366,315776.0975609756,184416.5011441648,249180.9255319149,231865.73591549296,1150.0,184477.71495877503,0,4.216205501944986,6.187760454167024,182096.16666666663,214933.6586345381,186966.7281767956,186559.38169642852,1362.0,0,7.292389402742653,1,0,3,0,4,1,212431.68905472642,183480.255506608,1,205639.79047619048,251911.1612903225,2006.0,204562.85409252672,3,187301.235763098,186411.6782122905,125.0,144.0,0,0,0,0,187826.30495552733,181830.58785942488,0,1.4142135623730951,2007,271289.0240963855,424870
730,120,191219.46744791663,2.4989993994393838,8.567952416355485,181064.89435897442,201999.27272727274,179770.30847457628,181091.52712384853,178819.05726872245,179568.78741865512,182502.6222826087,185039.5707491082,181190.67801857585,184173.47435897434,178015.57407407407,1.6817928305074292,1.4953487812212205,1995.0,1996,171923.2621870883,180259.57544224765,193783.81451612906,157185.94086021505,0.0,230358.9235474006,184761.9463243874,222463.08755760366,203013.7451923077,184416.5011441648,166000.2738654147,231865.73591549296,1180.0,184477.71495877503,0,4.513485215159496,6.319608460611442,182096.16666666663,214933.6586345381,186966.7281767956,186559.38169642852,0.0,0,6.340307759445402,1,0,2,0,2,1,212431.68905472642,183480.255506608,1,205639.79047619048,202696.47478260868,1995.0,204562.85409252672,2,187301.235763098,186411.6782122905,237.0,152.0,0,0,0,0,187826.30495552733,181830.58785942488,0,1.3160740129524924,2010,173778.14185228606,236500
1155,20,191219.46744791663,3.0800702882410227,10.186705756454476,181064.89435897442,201999.27272727274,179770.30847457628,181091.52712384853,173068.19576719578,179568.78741865512,182502.6222826087,185039.5707491082,181190.67801857585,186037.23464373464,178015.57407407407,1.4953487812212205,1.6817928305074292,1976.0,2004,171923.2621870883,180259.57544224765,179982.92424242425,157185.94086021505,0.0,230358.9235474006,165718.2474226804,151961.42344497607,203013.7451923077,184416.5011441648,249180.9255319149,161142.61744966442,1157.0,184477.71495877503,0,4.090623489235047,6.156929660313632,182096.16666666663,142530.16370106762,186966.7281767956,186559.38169642852,0.0,0,6.156929660313632,1,0,2,0,3,1,212431.68905472642,183480.255506608,1,164561.36363636365,202696.47478260868,1976.0,204562.85409252672,2,187301.235763098,186411.6782122905,0.0,21.0,0,0,180,0,187826.30495552733,181830.58785942488,0,1.626576561697786,2007,173778.14185228606,218000
