,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
615,85,3,80.0,8800.0,1,0,1,1,2,0,2,2,1,4,1,6,7,1963.0,1963,2,0,1,1,2,156.0,1,3,5,2,3,4,6,763.0,5,0,173.0,936.0,5,4,1,2,1054.0,0.0,0,1054.0,1,0,1,0,3,1,2,6,6,0,1,5,1963.0,2,2,480.0,3,5,2,120.0,0.0,0,0,0,0,2,2,0,5,2010,5,1,137500
613,20,3,70.0,8402.0,1,0,1,1,2,0,3,2,1,4,5,5,5,2007.0,2007,2,0,5,5,1,0.0,1,4,5,3,3,1,4,206.0,5,0,914.0,1120.0,5,4,1,2,1120.0,0.0,0,1120.0,0,0,1,0,3,1,1,6,6,0,1,0,2020.0,0,0,0.0,0,0,2,0.0,30.0,0,0,0,0,4,2,0,12,2007,7,5,147000
1303,20,3,73.0,8688.0,1,0,1,1,2,0,7,3,1,4,5,7,5,2005.0,2005,2,0,5,5,2,228.0,2,4,5,3,3,3,5,0.0,5,0,1616.0,1616.0,5,4,1,2,1616.0,0.0,0,1616.0,0,0,2,0,3,1,2,7,6,0,1,5,2005.0,2,3,834.0,3,5,2,208.0,59.0,0,0,0,0,4,2,0,4,2006,5,3,232000
486,20,3,79.0,10289.0,1,0,1,1,2,0,2,3,1,4,5,5,7,1965.0,1965,4,0,1,1,2,168.0,1,4,2,2,3,1,4,836.0,5,0,237.0,1073.0,5,2,1,2,1073.0,0.0,0,1073.0,1,0,1,1,3,1,1,6,6,0,1,5,1965.0,2,2,515.0,3,5,2,0.0,0.0,0,0,0,0,4,2,0,6,2007,5,3,156000
561,20,3,77.0,10010.0,1,0,1,1,2,1,3,3,1,4,5,5,5,1974.0,1975,2,0,2,2,1,0.0,1,4,2,3,3,3,4,1071.0,2,123,195.0,1389.0,5,3,1,2,1389.0,0.0,0,1389.0,1,0,1,0,2,1,1,6,6,1,3,5,1975.0,2,2,418.0,3,5,2,240.0,38.0,0,0,0,0,4,2,0,4,2006,5,3,170000
308,30,3,70.0,12342.0,1,1,1,1,2,0,0,3,1,4,5,4,5,1940.0,1950,2,0,5,5,1,0.0,1,4,2,2,3,1,1,262.0,5,0,599.0,861.0,5,4,1,2,861.0,0.0,0,861.0,0,0,1,0,1,1,1,4,6,0,1,2,1961.0,1,2,539.0,3,5,2,158.0,0.0,0,0,0,0,4,2,0,3,2009,5,3,82500
461,70,3,60.0,7200.0,1,0,1,1,2,0,3,2,1,4,6,7,9,1936.0,2007,2,0,0,0,1,0.0,2,3,5,3,4,1,4,350.0,1,210,0.0,560.0,5,4,1,2,575.0,560.0,0,1135.0,1,0,1,0,3,1,2,6,6,0,1,2,1971.0,2,2,576.0,3,5,2,256.0,0.0,0,0,0,0,2,2,0,4,2009,5,3,155000
1142,60,3,77.0,9965.0,1,0,1,1,2,0,6,3,1,4,6,8,5,2006.0,2007,4,0,5,5,4,340.0,2,4,5,4,3,4,6,1150.0,5,0,316.0,1466.0,5,4,1,2,1466.0,1362.0,0,2828.0,1,0,3,0,4,1,2,11,6,1,3,6,2006.0,2,3,1052.0,3,5,2,125.0,144.0,0,0,0,0,4,2,0,4,2007,7,5,424870
730,120,3,39.0,5389.0,1,1,1,1,2,0,3,3,1,3,5,8,5,1995.0,1996,2,0,4,4,1,0.0,2,4,5,3,3,1,6,1180.0,5,0,415.0,1595.0,5,4,1,2,1616.0,0.0,0,1616.0,1,0,2,0,2,1,2,5,6,1,3,5,1995.0,2,2,608.0,3,5,2,237.0,152.0,0,0,0,0,4,2,0,3,2010,5,3,236500
1155,20,3,90.0,10768.0,1,1,1,1,0,0,3,3,1,4,5,5,8,1976.0,2004,2,0,3,3,1,0.0,2,3,2,3,3,4,4,1157.0,5,0,280.0,1437.0,5,2,1,2,1437.0,0.0,0,1437.0,1,0,2,0,3,1,2,6,6,1,2,5,1976.0,2,2,528.0,3,5,2,0.0,21.0,0,0,180,0,4,2,0,7,2007,5,3,218000
1203,20,3,75.0,9750.0,1,0,1,1,2,0,6,3,1,4,5,7,5,2000.0,2001,2,0,5,5,2,171.0,2,4,5,3,3,1,5,0.0,5,0,1630.0,1630.0,5,4,1,2,1630.0,0.0,0,1630.0,0,0,2,0,3,1,2,6,6,1,3,5,2000.0,1,2,451.0,3,5,2,74.0,234.0,0,0,0,0,4,2,0,10,2009,5,3,213000
700,20,3,85.0,14331.0,1,0,1,1,2,0,3,3,1,4,5,8,5,2002.0,2002,4,0,5,5,2,630.0,2,4,5,4,3,4,6,1274.0,5,0,526.0,1800.0,5,4,1,2,1800.0,0.0,0,1800.0,1,0,2,0,3,1,2,7,6,1,4,5,2002.0,3,3,765.0,3,5,2,270.0,78.0,0,0,0,0,4,2,0,5,2006,5,3,312500
849,80,3,80.0,9600.0,1,0,1,1,1,0,3,2,1,4,4,6,7,1976.0,1994,4,0,3,3,2,360.0,2,3,2,2,3,1,5,0.0,5,0,528.0,528.0,5,4,1,2,1094.0,761.0,0,1855.0,0,0,2,1,3,1,1,7,6,1,3,5,1976.0,2,2,512.0,3,5,2,113.0,100.0,0,0,0,0,4,2,0,8,2007,5,3,187000
1260,60,3,70.0,23830.5,1,2,1,1,4,0,5,6,1,4,6,6,5,1999.0,1999,2,0,5,5,1,0.0,1,4,5,3,3,1,5,0.0,5,0,841.0,841.0,5,4,1,2,892.0,783.0,0,1675.0,0,0,2,1,3,1,1,7,6,1,3,6,1999.0,3,2,502.0,3,5,2,0.0,103.0,0,0,0,0,4,2,0,6,2009,5,3,181000
787,60,3,76.0,10142.0,1,1,1,1,2,0,3,3,1,4,6,7,5,2004.0,2004,2,0,5,5,1,0.0,2,4,5,3,3,1,6,656.0,5,0,300.0,956.0,5,4,1,2,956.0,1128.0,0,2084.0,1,0,2,1,4,1,2,8,6,0,1,6,2004.0,2,2,618.0,3,5,2,0.0,45.0,0,0,0,0,4,2,0,1,2010,5,3,233000
352,50,3,60.0,9084.0,1,0,1,1,2,0,0,0,1,4,2,5,6,1941.0,1950,2,0,5,5,1,0.0,1,4,2,2,2,2,2,236.0,3,380,0.0,616.0,5,2,0,2,616.0,495.0,0,1111.0,0,1,1,0,3,1,1,5,6,0,1,2,1941.0,1,1,200.0,3,1,2,48.0,0.0,0,0,0,0,4,2,0,3,2008,0,3,95000
710,30,3,56.0,4130.0,1,1,1,1,2,0,3,3,1,4,5,3,6,1935.0,2003,2,0,5,5,1,0.0,2,4,2,2,3,1,5,0.0,5,0,270.0,270.0,5,3,1,2,729.0,0.0,0,729.0,0,0,1,0,2,1,1,5,0,0,1,0,2020.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,4,2,0,7,2008,5,3,52000
124,20,3,48.0,17043.0,1,1,1,1,4,0,4,3,1,4,5,6,5,1979.0,1998,2,0,2,2,1,0.0,1,3,2,3,2,1,5,0.0,5,0,1362.0,1362.0,5,2,1,2,1586.0,0.0,0,1586.0,0,0,2,0,3,1,1,7,6,1,3,5,1979.0,1,2,435.0,3,5,2,192.0,0.0,0,0,0,0,4,2,0,1,2009,5,3,181000
178,20,3,63.0,17423.0,1,1,1,1,4,0,3,3,1,4,5,9,5,2008.0,2009,4,0,5,5,4,748.0,3,4,5,4,3,1,6,1904.0,5,0,312.0,2216.0,5,4,1,2,2234.0,0.0,0,2234.0,1,0,2,0,1,1,3,9,6,1,4,5,2009.0,3,3,1166.0,3,5,2,0.0,60.0,0,0,0,0,4,2,0,7,2009,7,5,501837
