,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
615,85,3,2.990702258667686,9.68546849667067,1,0,1,1,2,0,2,2,1,4,1,1.5650878569588353,1.6265915283192642,1963.0,1963,2,0,1,1,2,156.0,1,3,5,2,3,4,6,763.0,5,0,3.626692708239837,5.531193361291938,5,4,1,2,5.697841696642686,0.0,0,5.697841696642686,1,0,1,0,3,1,2,1.5650878569588353,6,0,1,5,1963.0,2,2,4.680694392929323,3,5,2,120.0,0.0,0,0,0,0,2,2,0,1.4953594885511643,2010,5,1,137500
613,20,3,2.8925075626521703,9.57404825557089,1,0,1,1,2,0,3,2,1,4,5,1.4953594885511643,1.4953594885511643,2007.0,2007,2,0,5,5,1,0.0,1,4,5,3,3,1,4,206.0,5,0,5.498399767205,5.785015125304341,5,4,1,2,5.785015125304341,0.0,0,5.785015125304341,0,0,1,0,3,1,1,1.5650878569588353,6,0,1,0,2020.0,0,0,0.0,0,0,2,0.0,30.0,0,0,0,0,4,2,0,1.861209284309532,2007,7,5,147000
1303,20,3,2.9230121450312176,9.654501540732179,1,0,1,1,2,0,7,3,1,4,5,1.6265915283192642,1.4953594885511643,2005.0,2005,2,0,5,5,2,228.0,2,4,5,3,3,3,5,0.0,5,0,6.34030756351772,6.34030756351772,5,4,1,2,6.34030756351772,0.0,0,6.34030756351772,0,0,2,0,3,1,2,1.6265915283192642,6,0,1,5,2005.0,2,3,5.373927800036022,3,5,2,208.0,59.0,0,0,0,0,4,2,0,1.4142135623730951,2006,5,3,232000
486,20,3,2.981308437582398,10.0714795338123,1,0,1,1,2,0,2,3,1,4,5,1.4953594885511643,1.6265915283192642,1965.0,1965,4,0,1,1,2,168.0,1,4,2,2,3,1,4,836.0,5,0,3.923620776782588,5.723346922911453,5,2,1,2,5.723346922911453,0.0,0,5.723346922911453,1,0,1,1,3,1,1,1.5650878569588353,6,0,1,5,1965.0,2,2,4.763780011713387,3,5,2,0.0,0.0,0,0,0,0,4,2,0,1.5650878569588353,2007,5,3,156000
561,20,3,2.962262648719725,10.0024996875781,1,0,1,1,2,1,3,3,1,4,5,1.4953594885511643,1.4953594885511643,1974.0,1975,2,0,2,2,1,0.0,1,4,2,3,3,3,4,1071.0,2,123,3.7368703482994965,6.10485872072401,5,3,1,2,6.10485872072401,0.0,0,6.10485872072401,1,0,1,0,2,1,1,1.5650878569588353,6,1,3,5,1975.0,2,2,4.521614755814564,3,5,2,240.0,38.0,0,0,0,0,4,2,0,1.4142135623730951,2006,5,3,170000
308,30,3,2.8925075626521703,10.54014231402973,1,1,1,1,2,0,0,3,1,4,5,1.4142135623730951,1.4953594885511643,1940.0,1950,2,0,5,5,1,0.0,1,4,2,2,3,1,1,262.0,5,0,4.947170908711362,5.416899482176127,5,4,1,2,5.416899482176127,0.0,0,5.416899482176127,0,0,1,0,1,1,1,1.4142135623730951,6,0,1,2,1961.0,1,2,4.818339963099325,3,5,2,158.0,0.0,0,0,0,0,4,2,0,1.3160927019021114,2009,5,3,82500
461,70,3,2.783163667483463,9.21155795726217,1,0,1,1,2,0,3,2,1,4,6,1.6265915283192642,1.7320508075688772,1936.0,2007,2,0,0,0,1,0.0,2,3,5,3,4,1,4,350.0,1,210,0.0,4.864596591702132,5,4,1,2,4.89685613429678,560.0,0,5.804291515766589,1,0,1,0,3,1,2,1.5650878569588353,6,0,1,2,1971.0,2,2,4.898979485566356,3,5,2,256.0,0.0,0,0,0,0,2,2,0,1.4142135623730951,2009,5,3,155000
1142,60,3,2.962262648719725,9.991236159755209,1,0,1,1,2,0,6,3,1,4,6,1.6817847662528043,1.4953594885511643,2006.0,2007,4,0,5,5,4,340.0,2,4,5,4,3,4,6,1150.0,5,0,4.21620682604637,6.187762115660233,5,4,1,2,6.187762115660233,1362.0,0,7.29238644066536,1,0,3,0,4,1,2,1.8211534806270449,6,1,3,6,2006.0,2,3,5.695129498088696,3,5,2,125.0,144.0,0,0,0,0,4,2,0,1.4142135623730951,2007,7,5,424870
730,120,3,2.49899979991996,8.567951913964038,1,1,1,1,2,0,3,3,1,3,5,1.6817847662528043,1.4953594885511643,1995.0,1996,2,0,4,4,1,0.0,2,4,5,3,3,1,6,1180.0,5,0,4.51347981052314,6.319612329882269,5,4,1,2,6.34030756351772,0.0,0,6.34030756351772,1,0,2,0,2,1,2,1.4953594885511643,6,1,3,5,1995.0,2,2,4.965652021638246,3,5,2,237.0,152.0,0,0,0,0,4,2,0,1.3160927019021114,2010,5,3,236500
1155,20,3,3.0800649343804425,10.186707024352865,1,1,1,1,0,0,3,3,1,4,5,1.4953594885511643,1.6817847662528043,1976.0,2004,2,0,3,3,1,0.0,2,3,2,3,3,4,4,1157.0,5,0,4.090623424369444,6.1569310536987505,5,2,1,2,6.1569310536987505,0.0,0,6.1569310536987505,1,0,2,0,3,1,2,1.5650878569588353,6,1,2,5,1976.0,2,2,4.7935686080414035,3,5,2,0.0,21.0,0,0,180,0,4,2,0,1.6265915283192642,2007,5,3,218000
